title,description,new_link
LITTLE T VS AFGHAN DAN,Latest updates as fight ends after horror shoulder injury,https://www.thesun.co.uk/sport/32851350/little-t-afghan-dan-misfits-boxing-20-live-results-updates/
FITS AND STARTS,Tommy Fury set for boxing return but it leaves Jake Paul rematch in doubt,https://www.thesun.co.uk/sport/32873207/tommy-fury-boxing-darren-till-fight-jake-paul-rematch/
KHAN DO ATTITUDE,KSI set for Khan talks but 'son of Brit legend in line to fight him next',https://www.thesun.co.uk/sport/32871293/ksi-talks-fight-boxing-amir-khan/
FITS THE BILL,Champions League winner and ex-Prem star lined up for bouts on Misfits Boxing,https://www.thesun.co.uk/sport/32871416/wes-brown-wayne-bridge-fight-ksi-misfits-boxing/
HAPPY EVA AFTER,Mike Tyson considering fighting AGAIN for grudge match 30 YEARS in making,https://www.thesun.co.uk/sport/32871008/mike-tyson-fighting-again-jake-paul-evander-holyfield/
IT'S ALL GLOVE,Jake Paul's girlfriend Jutta Leerdam shares stunning pics on 28th birthday,https://www.thesun.co.uk/sport/32870643/jake-paul-girlfriend-jutta-leerdam-birthday/
LIFE OF GRIME,Meet rapper Afghan Dan who's set to star on Misfits Boxing 20 card,https://www.thesun.co.uk/sport/32808576/afghan-dan-rapper-misfits-boxer/
LOU BEAUTY,"Former Six Nations star, 37, now working in security at Tyson Fury fights",https://www.thesun.co.uk/sport/32869475/boxing-news-tyson-fury-fights-lou-reed-security-rugby/
BRIT WARNING,Boxers told to avoid controversial doc who boasted how fighters can cheat,https://www.thesun.co.uk/sport/32865164/boxers-warned-avoid-usman-sajjad-tyson-fury-conor-benn/
WILD FOR IT,Wilder ready to salvage AJ fight amid Fury retirement but will make Brit wait,https://www.thesun.co.uk/sport/32844347/deontay-wilder-anthony-joshua-fight-tyson-fury-retirement/
COLIN HART,Tyson Fury should retire - it's no good raking in fortune if you can't spend it,https://www.thesun.co.uk/sport/32848259/tyson-fury-retirement-right-decision-colin-hart/
KNOCK OUT BLOW,Chris Eubank Sr fears his son is putting life at risk by fighting Conor Benn,https://www.thesun.co.uk/sport/32854419/chris-eubank-fears-conor-benn-fight/
HEAVY HITTER,Meet rapper Little T who's set to star on Misfits Boxing 20 fight card,https://www.thesun.co.uk/sport/32810519/misfits-boxer-little-t/
LITTLE T VS AFGHAN DAN,All the details you need as pair come together to end feud,https://www.thesun.co.uk/sport/32789286/little-t-afghan-dan-misfits-boxing-20-fight-time-stream/
AL BE HONEST,Fury has 'more big fights' left as Turki Alalshikh speaks out on retirement,https://www.thesun.co.uk/sport/32845333/tyson-fury-more-big-fights-turki-alalshikh-retirement/
WILD THING,Anthony Joshua lined up for stunning Deontay Wilder fight,https://www.thesun.co.uk/sport/32840622/anthony-joshua-next-fight-tyson-fury-retire-deontay-wilder/
ANOTHER PRINCE,What we know about Prince Naseem's son Sami Hamed,https://www.thesun.co.uk/sport/32816325/prince-naseem-son-sami-hamed/
ANT BOTHERED,AJ's 'reaction' to Fury retirement revealed by Hearn as fight lies in tatters,https://www.thesun.co.uk/sport/32824210/anthony-joshua-reaction-tyson-fury-retirement-eddie-hearn-fight/
'IT SHOOK ME UP',I've fought AJ and Wilder... but Andy Ruiz Jr left more of an impression,https://www.thesun.co.uk/sport/32821806/anthony-joshua-deontay-wilder-joseph-parker/
WHITE NOISE,Dana White breaks silence over talks of fight between McGregor and Logan Paul,https://www.thesun.co.uk/sport/32822319/ufc-dana-white-fight-conor-mcgregor-logan-paul/
MISFITS BOXING 20,All the details you need as Till faces Taylor in huge main event,https://www.thesun.co.uk/sport/32736923/misfits-boxing-20-darren-till-anthony-taylor-fight-time-card/
IT'S A NOCK OUT,Neil Warnock hilariously pokes fun at Fury over latest boxing 'retirement',https://www.thesun.co.uk/sport/32820524/football-neil-warnock-tyson-fury-retirement-fight/
'PRETTY BOY',What we know about Misfits boxer Anthony Taylor,https://www.thesun.co.uk/sport/22328464/who-is-anthony-taylor/
HOME FREE,Mike Tyson splurges almost entire £16m Jake Paul fight purse on new mansion,https://www.thesun.co.uk/sport/32813950/mike-tyson-jake-paul-boxing-new-mansion/
SLY AND RETIRING,Why Tyson Fury's 'Dick Turpin' reference shows he hasn't really retired,https://www.thesun.co.uk/sport/32810518/tyson-fury-dick-turpin-retired-boxing-anthony-joshua/
IN THE BANK,Eubank Jr vs Benn AGREED as feuding Brits set for blockbuster London showdown,https://www.thesun.co.uk/sport/32809109/chris-eubank-jr-conor-benn-fight-london-agreed/
ITALIAN JOB,Fans convinced Jake Paul and Tommy Fury set for rematch after eagle-eyed spot,https://www.thesun.co.uk/sport/32805371/jake-paul-tommy-fury-rematch/
STAIRWAY TO SEVEN,Seven fights for AJ revealed by Hearn if Fury really has retired,https://www.thesun.co.uk/sport/32804309/fights-anthony-joshua-tyson-fury/
PARK IT THERE,Parker will be stripped of title after ONE SECOND of fight with Dubois,https://www.thesun.co.uk/sport/32802429/joseph-parker-stripped-heavyweight-title-fight-daniel-dubois/
ROLE WITH THE PUNCHES,Tyson Fury lined up for new role hours after announcing retirement,https://www.thesun.co.uk/sport/32793324/tyson-fury-retirement-boxing-new-role/
FURY ROAD,Fury's biggest battle will be walking away from boxing for good after retiring,https://www.thesun.co.uk/sport/32777292/tyson-fury-battle-boxing-retirement/
FRIENDLY FIRE,"Fury will still fight AJ and they'll be friends after, says Brit champ",https://www.thesun.co.uk/sport/32786520/tyson-fury-fight-anthony-joshua-friends-prediction/
JUST AN EDD'S UP,Eddie Hearn reacts to Fury retirement with wry smile as AJ bout in tatters,https://www.thesun.co.uk/sport/32784668/eddie-hearn-tyson-fury-retirement-anthony-joshua-fight/
DOWN… BUT NOT OUT?,All the signs Fury's latest retirement is rubbish - and why it's a ploy,https://www.thesun.co.uk/sport/32782614/tyson-fury-retires-anthony-joshua-fight-ploy/
TY AND DRY,Tyson Fury giving up eye-watering payday by retiring before Anthony Joshua fight,https://www.thesun.co.uk/sport/32780057/tyson-fury-retire-give-up-payday-aj-fight/
THIS ONE FURY REAL?,Every one of Fury's 'retirements' revealed as he calls time on career,https://www.thesun.co.uk/sport/32779524/tyson-fury-retirements-boxing-career-anthony-joshua-fight/
ONLY JOSHING,Fans convinced Tyson Fury's retirement is confirmation of Anthony Joshua fight,https://www.thesun.co.uk/sport/32778006/fans-convinced-tyson-fury-retirement-confirmation-anthony-joshua/
TYRED OF IT,Has Tyson Fury retired from boxing? Latest as star releases video,https://www.thesun.co.uk/sport/23502000/has-tyson-fury-retired-boxing/
THE MURR THE MERRIER,Anthony Joshua lands new role as he joins forces with Andy Murray,https://www.thesun.co.uk/sport/32775943/anthony-joshua-andy-murray-padel/
FINAL BELL,Tyson Fury RETIRES from boxing to leave Anthony Joshua fight dead in water,https://www.thesun.co.uk/sport/32776801/tyson-fury-retires-boxing-anthony-joshua-fight/
JUST JOSHING,AJ talks 'interesting' strategy to tease Fury to fight with Hearn 'encouraged',https://www.thesun.co.uk/sport/32755300/anthony-joshua-tyson-fury-update-eddie-hearn/
WEDDING RING,Boxer 'felt sparks' at weigh-in and married future wife 2 years after FIGHTING,https://www.thesun.co.uk/sport/32742607/jessica-camara-met-wife-boxing-fight-hernandez/
THREESY DOES IT,Jake Paul has three 'extremely good' opponents in the frame for MMA debut,https://www.thesun.co.uk/sport/32729333/jake-paul-opponents-mma-debut-rematch-boxing/
NOU-SWORTHY,Ngannou set for boxing return with Tyson Fury rematch one of two bouts targeted,https://www.thesun.co.uk/sport/32725940/francis-ngannou-boxing-return-tyson-fury-rematch-deontay-wilder-fight/
"FIGHTS, CAMARA, ACTION","Caroline Dubois v Jessie Camara: Start time, TV channel, live stream",https://www.thesun.co.uk/sport/32722924/caroline-dubois-jessie-camara-start-time-tv-channel-live-stream-undercard/
'BEAUTIFUL',What we know about Callum Simpson's late sister Lily-Rae,https://www.thesun.co.uk/sport/32718471/callum-simpson-sister-lily-rae-boxing/
BRIT TASTY,"Callum Simpson vs Steed Woodall: Start time, TV channel, live stream, undercard",https://www.thesun.co.uk/sport/32721940/callum-simpson-vs-steed-woodall-start-time-tv-stream/
'A TRIBUTE',Brit boxing champ fighting in honour of little sister after tragic death at 19,https://www.thesun.co.uk/sport/32718015/boxing-news-callum-simpson-sister-steed-woodall-fight/
TOMMY GUN,Tommy Fury calls out Conor McGregor for huge boxing match amid KSI talks,https://www.thesun.co.uk/sport/32711861/tommy-fury-conor-mcgregor-boxing-fight-ksi/
ED'S UP,Hearn gives Fury vs Joshua update negotiations as he admits 'timing's everything',https://www.thesun.co.uk/sport/32694843/tyson-fury-anthony-joshua-negotiations-eddie-hearn-boxing-news/
FIGHT TALK,KSI throws his hat in the ring to fight McGregor with Paul rumoured to be OUT,https://www.thesun.co.uk/sport/32686751/ksi-conor-mcgregor-logan-paul/
BRAWL KICKING OFF,'Best scrap of night' say fans as brawl breaks out at boxing,https://www.thesun.co.uk/sport/32679548/brawl-crowd-boxing-jai-opetaia/
PAUL FOR IT,'Give him Jake Paul next' urge fans as Fury pal Opetaia lands 'killer' KO punch,https://www.thesun.co.uk/sport/32678547/jake-paul-tyson-fury-sparring-jai-opetaia-david-nyika/
WILD TURN OF EVENTS,Wilder to snub retirement and make comeback after blowing Joshua fight,https://www.thesun.co.uk/sport/32669995/deontay-wilder-retirement-comeback-anthony-joshua-fight/
AP-SOLUTELY FREEZING,'Good job you've got ear muffs' joke fans as Apollonia frolics in snow,https://www.thesun.co.uk/sport/32665276/snow-apollonia-llewellyn/
RUMBLE GRUMBLE,"Don King, 93, 'hit with £2.4bn fraud suit over Rumble in the Jungle 2'",https://www.thesun.co.uk/sport/32658728/boxing-news-don-king-rumble-jungle-2-lawsuit-sued/
HAIR WE GO,World champ boxer unrecognisable as he unveils 'Salt Bae' look in training camp,https://www.thesun.co.uk/sport/32648398/boxing-news-gervonta-davis-new-hair-lamont-roach-fight/
CON THE WARPATH,McGregor sends £200m warning to Paul after 'confirming' boxing match,https://www.thesun.co.uk/sport/32637170/conor-mcgregor-logan-paul-fight-purse-warning-ufc-news/
FINAL BELL,Major Tyson Fury retirement hint as promoter gives update on boxer's future,https://www.thesun.co.uk/sport/32635590/anthony-joshua-tyson-fury-fight-2025-retire/
NO MORE JOSHING,Joshua says 'time is limited' as he calls out Fury after 'turbulent times',https://www.thesun.co.uk/sport/32620774/anthony-joshua-tyson-fury-fight/
'CHALLENGING TIME',"Boxing hero, 63, suffering with brain disease as son issues plea",https://www.thesun.co.uk/sport/32596753/boxing-brain-disease-son-donald-curry/
BOXING TRAGEDY,Boxer Hassan Mgaya dies aged 29 just days after suffering KO defeat,https://www.thesun.co.uk/sport/32588185/hassan-mgaya-dead-boxing-fight/
EUBANK SUED,Frank Warren starts legal proceedings against Eubank Jr after shocking outburst,https://www.thesun.co.uk/sport/32584383/frank-warren-opens-legal-proceedings-eubank-jr-outburst/
COLIN HART,Itauma is living his own Rocky story... he will be household name this year,https://www.thesun.co.uk/sport/32582419/moses-itauma-rocky-colin-hart-heavyweight-boxing/
OPETAIA VS NYIKA,All the information you need ahead of huge cruiserweight title fight,https://www.thesun.co.uk/sport/32578355/jai-opetaia-vs-david-nyika-date-fight-time-card/
JAKE EXPECTATIONS,Jake Paul's 10-man hit-list for 2025 including world champ & Tommy Fury,https://www.thesun.co.uk/sport/32577192/jake-paul-boxing-tommy-fury/
A BRIT TASTY,AJ confirms Fury fight must go ahead in 2025 and admits 'it has to happen',https://www.thesun.co.uk/sport/32572262/anthony-joshua-tyson-fury-fight-2025/
PAUL OVER,"Former world champion, 47, vows to end Jake Paul's boxing career with 'one punch'",https://www.thesun.co.uk/sport/32574442/jake-paul-boxing-career-carl-froch/
FURY ROAD,Fury plummets down heavyweight world rankings after second Usyk defeat,https://www.thesun.co.uk/sport/32573471/tyson-fury-heavyweight-world-rankings-oleksandr-usyk/
CON THE DOWN LO,McGregor issued brutal warning over £400m Logan Paul boxing match,https://www.thesun.co.uk/sport/32562878/conor-mcgregor-logan-paul-boxing-match-warning-ufc-news/
REFFING 'ELL,Referee gets punched in face as officials forced to storm boxing ring,https://www.thesun.co.uk/sport/32553418/rizin-49-results-rikiya-anpo-sina-karimian-referee-punched/
LO AND BEHOLD,Logan Paul teases imminent McGregor fight announcement after £400m bombshell,https://www.thesun.co.uk/sport/32539878/conor-mcgregor-logan-paul-fight-annoucement-teased/
ED'S UP,Hearn reveals two-fight plan for Joshua and hints Fury WON'T get Usyk trilogy,https://www.thesun.co.uk/sport/32538101/anthony-joshua-next-fight-date-tyson-fury-eddie-hearn/
'A BIT SCARY',Boxer Paul Bamba made tragic brain damage admission weeks before death at 35,https://www.thesun.co.uk/sport/32536909/paul-bamba-cause-of-death-brain-damage-admission/
EU BEAUTY,Inside Chris Eubank Jr's new £4m villa as he shows off stunning beachfront pad,https://www.thesun.co.uk/sport/32534878/chris-eubank-jr-dubai-house-boxing-news/
DONE FUR GOOD,Fury told he should RETIRE after crushing Usyk loss due to huge 'risk',https://www.thesun.co.uk/sport/32527532/tyson-fury-retire-usyk-rematch-boxing-news/
MUMBAI MELEE,Conor McGregor 'CONFIRMS' stunning £400m Logan Paul boxing match in India,https://www.thesun.co.uk/sport/32528377/conor-mcgregor-logan-paul-boxing-match-purse-ufc-news/
'WENT WRONG',AJ's troubled training camp before brutal Dubois KO loss revealed,https://www.thesun.co.uk/sport/32527219/anthony-joshua-daniel-dubois-ko-training-camp/
WHAM GLAM,Boxing braced for introduction of AI ring girls after first judge at Fury-Usyk 2,https://www.thesun.co.uk/sport/32516386/boxing-news-ai-judge-tyson-fury-oleksandr-usyk/
BOXING BATTLE,'Voice of Boxing' opens up on 'dark times' during heartbreaking cancer battle,https://www.thesun.co.uk/sport/32515973/boxing-news-adam-smith-cancer-battle/
OPEN MIKE,Boxing icon Mike Tyson's alarming confession after Jake Paul defeat,https://www.thesun.co.uk/sport/32514750/mike-tyson-depressed-confession-jake-paul/
'HEARTBROKEN',"World champion boxer, 35, dies suddenly after Jake Paul link",https://www.thesun.co.uk/sport/32510253/paul-bamba-dead-jake-paul-tommy-fury-boxing/
WATCH THIS,Oleksandr Usyk reveals his 'fake $100 Rolex' just days after beating Tyson Fury,https://www.thesun.co.uk/sport/32487858/oleksandr-usyk-tyson-fury-fake-rolex-boxing-news/
NEXT GENERATION,Meet the six next Brit boxing superstars who are set to replace Fury and AJ,https://www.thesun.co.uk/sport/32473214/meet-six-boxing-superstars-replace-tyson-fury-anthony-joshua/
FURY VS USYK 2,Gypsy King reveals retirement decision as both fighters are SUSPENDED,https://www.thesun.co.uk/sport/32394026/tyson-fury-oleksandr-usyk-2-live-result-latest-updates/
GRUDGE MATCH,Jake Paul set to steal Conor McGregor fight from under brother Logan's nose,https://www.thesun.co.uk/sport/32472676/jake-paul-conor-mcgregor-fight-india-boxing-ufc-news/
WORDS STEW-ING,What Tyson Fury's trainer told him before final round in Usyk defeat,https://www.thesun.co.uk/sport/32460436/usyk-fury-trainer-final-round-words-revealed/
JOSH SAYING,Usyk predicts Joshua vs Fury fight after going 24 rounds with each,https://www.thesun.co.uk/sport/32459782/oleksandr-usyk-anthony-joshua-tyson-fury-winner/
WATCHING ON,New footage shows Paris Fury's heartbroken response to Tyson's defeat to Usyk,https://www.thesun.co.uk/sport/32454300/paris-tyson-fury-oleksandr-usyk-boxing/
"BRIT, BASH, JOSH",Tyson Fury had 'bad distraction' AJ fight in his head before Usyk defeat,https://www.thesun.co.uk/sport/32453830/tyson-fury-anthony-joshua-fight/
FURY'S FUTURE,Fury vows 'it's not over' despite Usyk loss as he looks ahead to Joshua match,https://www.thesun.co.uk/sport/32451153/tyson-fury-retirement-decision-usyk-loss/
RING IT IN,Tyson Fury offered immediate return to the big time despite ANOTHER Usyk defeat,https://www.thesun.co.uk/sport/32451677/tyson-fury-anthony-joshua-oleksandr-usyk/
SAUD OFF,Usyk has ended Fury's time at the top - let's hope boxing in Saudi is ended too,https://www.thesun.co.uk/sport/32449744/oleksandr-usyk-tyson-fury-saudi-arabia/
JUST THE TWO OF US,Usyk shows true colours with classy message to 'best friend' Tyson Fury,https://www.thesun.co.uk/sport/32446992/oleksandr-usyk-classy-message-tyson-fury/
SYK OF IT,Oleksandr Usyk brutally hits out at 'blind' Frank Warren over scorecards rant,https://www.thesun.co.uk/sport/32445581/oleksandr-uysk-boxing-frank-warren-tyson-fury/
SIGN OF THE TY-MES,Fury's 'chilling' gesture acted as 'red flag' to chances of beating Usyk,https://www.thesun.co.uk/sport/32445251/tyson-fury-gesture-red-flag-usyk-body-language/
HAVIN' A TESLAUGH,"'F*** electric cars', Fury blasts COMPUTERS in bizarre rant at AI judge",https://www.thesun.co.uk/sport/32444606/tyson-fury-rant-ai-judge-scored-fight-usyk/
GLOVE STORY,Tyson Fury and Oleksandr Usyk's minimum boxing suspensions confirmed,https://www.thesun.co.uk/sport/32444871/tyson-fury-oleksandr-usyk-suspensions/
OL OVER HIM,Punch stats from Fury's defeat to Usyk reveal INCREDIBLE accuracy from champ,https://www.thesun.co.uk/sport/32444200/punch-stats-tyson-fury-oleksandr-usyk/
MUST BE JOSHING,Anthony Joshua's scorecard for controversial Fury vs Usyk fight revealed,https://www.thesun.co.uk/sport/32443975/anthony-joshua-fury-usyk-scorecard/
RED ALERT,TNT Sports presenter who used to be in Gladiators steals show at Fury vs Usyk,https://www.thesun.co.uk/sport/32444108/caroline-pearce-fury-usyk-outfit/
FINAL SAY,'Nuts' judges' scorecards revealed as officials only agree on TWO Fury rounds,https://www.thesun.co.uk/sport/32443851/tyson-fury-oleksandr-usyk-judges-scorecards-revealed-nuts/
NO GLOVE LOST,Fury gives cryptic update on his future after Usyk defeat as rumours swirl,https://www.thesun.co.uk/sport/32443753/tyson-fury-retirement-oleksandr-usyk/
HE'S FURY-OUS,Fury breaks silence on defeat in angry backstage rant after storming out ring,https://www.thesun.co.uk/sport/32443657/tyson-fury-oleksandr-usyk-defeat/
ROBO-FLOP,AI judge's scorecard for Fury vs Usyk 2 revealed but fans say 'worse than VAR',https://www.thesun.co.uk/sport/32443079/ai-judge-scorecard-revealed-fury-vs-usyk/
TYSON'S FURY,Frampton slams 'disrespectful act' that led to Tyson Fury storming out of ring,https://www.thesun.co.uk/sport/32442893/carl-frampton-tyson-fury-oleksandr-usyk-daniel-dubois/
NO JOSHING,Anthony Joshua posts one-word response to Tyson Fury's defeat to Oleksandr Usyk,https://www.thesun.co.uk/sport/32443199/anthony-joshua-tyson-fury-oleksandr-usyk/
JOSH BOSH,Fury tipped to finally fight Joshua NEXT as promoter gives update on his future,https://www.thesun.co.uk/sport/32442879/tyson-fury-fight-anthony-joshua/
NOT FUR ME,Fury storms out of ring after he is shown judges' scorecards after Usyk defeat,https://www.thesun.co.uk/sport/32442610/tyson-fury-storms-out-ring-oleksandr-usyk/
FIGHT VERDICT,Fury vs Usyk round by round: How SunSport's expert scored controversial fight,https://www.thesun.co.uk/sport/32441835/tyson-fury-oleksandr-usyk-round-by-round/
SEASON'S BEATINGS,Fury suffers controversial points loss to Usyk as career hangs in balance,https://www.thesun.co.uk/sport/32438000/tyson-fury-oleksandr-usyk-2-fight-result-usyk-wins/
YOU FUR REAL?,Fans fume as Dazn boxing stream GOES DOWN for Tyson Fury vs Oleksandr Usyk,https://www.thesun.co.uk/sport/32441766/dazn-stream-tyson-fury-oleksandr-usyk/
SOUND OF USYK,Fans can't get enough of Tyson Fury's walk-on song for Oleksandr Usyk rematch,https://www.thesun.co.uk/sport/32441641/tyson-fury-walk-on-song-oleksandr-usyk-rematch/
ACE WORRY,Johnny Fisher rushed to hospital after brutal Dave Allen war for brain scan,https://www.thesun.co.uk/sport/32441580/johnny-fisher-brain-scan-hospital-dave-allen/
SHORT CHANGED,Fans stunned at Tyson Fury's bizarre outfit for Oleksandr Usyk rematch,https://www.thesun.co.uk/sport/32441197/shorts-tyson-fury-outfit-oleksandr-usyk-rematch/
OL BE WATCHING YOU,Ronnie O'Sullivan leads celebs in crowd for Tyson Fury vs Oleksandr Usyk,https://www.thesun.co.uk/sport/32440559/ronnie-osullivan-tyson-fury-oleksandr-usyk-hollywood/
MO PROBLEM,Brit Moses Itauma FOLDS McKean on the canvas with brutal first-round KO,https://www.thesun.co.uk/sport/32440901/moses-itauma-demsey-mckean-ko-usyk-fury-2-resulst/
FAN FURY,Stunned boxing fans fume at 'FIX' on Tyson Fury vs Oleksandr Usyk undercard,https://www.thesun.co.uk/sport/32440337/embarrassing-stunned-boxing-fans-fume-at-fix-on-tyson-fury-vs-oleksandr-usyk-undercard/
AL BE DAMNED,Fisher somehow sneaks win against Allen despite getting outclassed & floored,https://www.thesun.co.uk/sport/32440115/dave-allen-johnny-fisher-fury-usyk-undercard/
KNOCKOUT,Sky Sports presenter Anna Woolhouse turns heads in bold outfit for Usyk vs Fury,https://www.thesun.co.uk/sport/32439196/anna-woolhouse-outfit-fury-vs-usyk/
CAUSING STUBBLE,Tyson Fury arrives for Oleksandr Usyk fight with 'gross violation of rules',https://www.thesun.co.uk/sport/32439650/tyson-fury-arrives-oleksandr-usyk-fight-beard-violation/
FUR FRONT,Paris steals show in floral outfit at Fury vs Usyk and predicts 'brutal' result,https://www.thesun.co.uk/sport/32438658/paris-fury-outfit-tyson-fight-usyk-result/
SELF KATERING,About Oleksandr Usyk's wife Yekaterina and how many children they have,https://www.thesun.co.uk/sport/19405812/oleksandr-usyk-wife-yekaterina/
