title,description,new_link
FIGHTING TALK,How to watch Tyson Fury and Oleksandr Usyk's post-fight press conferences,https://www.thesun.co.uk/sport/32431556/fury-usyk-post-fight-press-conference-stream-free-watch/
CAN'T BEAR IT,Boxing beard rules: Should Tyson Fury's be banned after Usyk complaint?,https://www.thesun.co.uk/sport/32432066/boxing-beard-rules-tyson-fury-oleksandr-usyk-banned/
GIVE IT SOME BEANS,Usyk's bizarre Fury impression as fans say he sounds just like Mr Bean,https://www.thesun.co.uk/sport/32434253/oleksandr-usyk-impression-tyson-mr-bean/
ALL-BRIT CLASH,How to watch Johnny Fisher vs Dave Allen in all-Brit heavyweight clash,https://www.thesun.co.uk/sport/31968819/johnny-fisher-dave-allen-start-time-live-stream-tv/
HEAVYWEIGHT CLASH,How to watch Itauma vs McKean as Brit boxer defends heavyweight title,https://www.thesun.co.uk/sport/31965729/moses-itauma-vs-demsey-mckean-time-live-stream-tv/
LATE CHANGE,Big change to Fury vs Usyk 2 as inexperienced official drafted in hours before,https://www.thesun.co.uk/sport/32434027/tyson-fury-oleksandr-usyk-ignacio-robles-boxing/
POINT OF REF,What we know about Tyson Fury vs Oleksandr Usyk 2 referee Roberto Ramirez Jnr,https://www.thesun.co.uk/sport/32393356/tyson-fury-oleksandr-usyk-referee-roberto-ramirez-jr-who/
MIC DROP,"Who is on commentary for Tyson Fury vs Oleksandr Usyk 2: DAZN, TNT & Sky Sports",https://www.thesun.co.uk/sport/32336919/fury-usyk-commentators-sky-sports-dazn-tnt/
STEAM SHOW,Fans ask 'how do I unsee this' as boxing legends predict Fury vs Usyk 2 in sauna,https://www.thesun.co.uk/sport/32431998/fans-unsee-boxing-legends-sauna-sky-sports-fury-usyk/
'I CAN'T LIE',Paris Fury admits heartache at Tyson cutting himself off for THREE MONTHS,https://www.thesun.co.uk/sport/32431812/tyson-fury-wife-paris-heartache-family-months-usyk/
SUPPORT ACTS,Tyson Fury vs Oleksandr Usyk 2 undercard: Who else is on the huge Saudi bill?,https://www.thesun.co.uk/sport/32260414/tyson-fury-oleksandr-usyk-2-undercard-johnny-fisher-moses-itauma/
FURY VS USYK 2,All the details you need ahead of huge heavyweight title rematch this year,https://www.thesun.co.uk/sport/27927589/tyson-fury-oleksandr-usyk-2-time-tv-channel-undercard-ppv-price/
MANE EVENT,Huge row as Usyk's team claim Fury's shaggy BEARD 'grossly violates' rules,https://www.thesun.co.uk/sport/32430528/tyson-fury-oleksandr-usyk-2-rematch-beard-row/
FAMILY FIGHTER,Inside Fury's family life as kids again bear brutal brunt of boxing career,https://www.thesun.co.uk/sport/32429824/tyson-fury-family-wife-kids-net-worth-usyk-rematch/
'LUCKY TO BE HERE','Voice of Boxing' Adam Smith is back for Tyson Fury v Oleksandr Usyk 2,https://www.thesun.co.uk/sport/32419128/adam-smith-voice-of-boxing-fury-usyk/
FURY ROAD,Fury is dangerous as the underdog - the world shakes when his game face is on,https://www.thesun.co.uk/sport/32426906/tyson-fury-dangerous-underdog/
WEIGH TO GO,Fury weighs in at career-HEAVIEST for Usyk rematch as Gypsy King eyes revenge,https://www.thesun.co.uk/sport/32425852/tyson-fury-oleksandr-usyk-2-weigh-in-results/
UP FOR GRABS,Tyson Fury vs Oleksandr Usyk 2: What belts are on the line for huge rematch?,https://www.thesun.co.uk/sport/32265508/tyson-fury-oleksandr-usyk-2-belts-titles/
'SAD NEWS',Former boxing world champion Thierry Jacob has died aged 59,https://www.thesun.co.uk/sport/32427917/thierry-jacob-dead-boxing-dies-lung-cancer/
FURY VS USYK 2,Fight styles compared: How do the heavyweight superstars match up,https://www.thesun.co.uk/sport/32402363/tyson-fury-oleksandr-usyk-fight-styles/
